Title	URL	Assignees	Status	Estimated size	Real size	Labels
Global Load Test Start Synchronization	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/100	BeEugen	Feature Archive	3	5	
Load Generator Query Type Mix	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/104	BeEugen, SeboKnt	Feature Archive	3	2	
Test ending wait mechanism	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/136	Carlit0, Leolingio	Feature Archive	2	3	
Complex Queries	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/120	Carlit0	Feature Archive	2	5	
Implementation of Batch Processing for Data Pre-Loading	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/79	SaraBelz	Feature Archive	3	3	
Refactoring: Include DTO changes in Metrics Reporter 	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/133	Carlit0	Feature Archive	2	2	
Extend Ano and Duo Index Mapping and Settings	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/137	Leolingio	Feature Archive	3	3	
Query Parameter Randomization	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/122	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	5	3	
CI/CD Pipeline Setup	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/61	SeboKnt	Feature Archive	2	3	
Warm-Up Phase	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/109	SaraBelz	Feature Archive	1	1	
Redesign Metrics Data Model	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/138	BeEugen	Feature Archive	2	2	
Configurable Test Duration Feature	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/112	BeEugen	Feature Archive	3	3	
Code Refactoring	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/78	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	5	5	
Big Data Handling in MetricsReporter	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/94	Carlit0	Feature Archive	5	5	
Shared Library Creation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/99	Carlit0	Feature Archive	1	1	
Configurable Queries per Second Feature	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/111	Leolingio, SaraBelz	Feature Archive	3	5	
Optimize Random Generation of Test Data	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/119	SeboKnt	Feature Archive	3	3	
Load Generator Functionality Definition	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/116	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	3	3	
Implementation of Load Test Scenario	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/67	BeEugen, Leolingio	Feature Archive	5	5	
Wiki Creation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/66	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	3	3	
Research - How to destroy OpenSearch	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/68	SaraBelz	Feature Archive	3	2	
ReportCreator Component Prototype Implementation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/38	Carlit0	Feature Archive	5	8	
Definitions of Done	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/77	engelharddirk, LeaBuchner, SaraBelz	Feature Archive	3	2	
Load Generator Port Setup Dockerized Services	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/76	SeboKnt	Feature Archive	3	2	
Data Generation Ano/Duo Separation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/80	BeEugen	Feature Archive	3	3	
Data Generation <-> OpenSearch Client Integration	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/44	BeEugen	Feature Archive	3	5	
Load Generator Internal Component Integration	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/59	Leolingio, SeboKnt	Feature Archive	5	5	
ReportController Component Prototype Implementation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/60	Leolingio, SaraBelz	Feature Archive	5	3	
Implementation of MetricsReporterClient Prototype	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/81	Leolingio	Feature Archive	3	2	
Build Process Video	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/64	SaraBelz	Feature Archive	2	2	
Unified Code Styling & Editor Configurations	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/50	Carlit0, Hydraneut	Feature Archive	1	2	
Research - OpenSearch	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/7	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	3	3	
QueryExecution Component Prototype Implementation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/35	SaraBelz	Feature Archive	3	2	
Logging Mechanism Implementation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/37	Leolingio	Feature Archive	2	2	
MetricsCollector Prototype Implementation 	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/19	SeboKnt	Feature Archive	5	3	
Environment Variable Support for Dockerized Services	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/52	SeboKnt	Feature Archive	2	2	
Automatic Shutdown of Testdata Generator Service	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/51	Leolingio	Feature Archive	1	1	
LoadRunner Component Prototype Implementation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/36	Carlit0, Leolingio	Feature Archive	2		
Define Representative Query Scenarios	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/17	SaraBelz	Feature Archive	5	3	
Prepare Build Process Review	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/16	Leolingio, SeboKnt	Feature Archive	2	2	
Research - Benchmark Tools for OpenSearch Load Tester	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/4	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	3	3	
OpenSearchClient prototype	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/20	BeEugen	Feature Archive	3	3	
Build Process Decision	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/3	Carlit0, Leolingio, SeboKnt	Feature Archive	2	2	
Data Generation Prototype	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/15	Leolingio	Feature Archive	3	3	
Research - Understand DATEV Data Structure (Industry Partner Input) for Load Tester Query Design	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/9	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	2	2	
Github Signoff/Co-Author Automation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/31	Carlit0	Feature Archive	1	1	
Build Process Implementation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/5	SeboKnt	Feature Archive	2	2	
Project Achitecture Adaptation	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/32	BeEugen, SeboKnt	Feature Archive	2	2	
Developer environment setup	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/2	BeEugen, Carlit0, Leolingio, SaraBelz, SeboKnt	Feature Archive	1	1	
Github Repository Management Decision	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/13	Carlit0	Feature Archive		2	
Architecture evaluation/decision	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/1	BeEugen, SeboKnt	Feature Archive	2	5	
Design Team Shirt	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/14	SaraBelz	Feature Archive		1	
Initialize SBOM	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/12	SaraBelz	Feature Archive			
Minimal Module Initialization	https://github.com/amosproj/amos2025ws01-opensearch-load-tester/issues/6	BeEugen	Feature Archive	2	2	
